,DES,FMO5,HMCES,NEXN,SLC7A5,CNV_6q12    ,CNV_18q11.2 ,CNV_12p,CNV_4q22.1  ,CNV_13q34   ,CNV_21q22.3 ,CNV_2q36.2  ,CNV_5q,CNV_5p,CNV_3p25.3  ,CNV_2p16.1  ,CNV_10p15.3 ,CNV_21q,CNV_12q15   ,CNV_11p15.5 ,CNV_6q26    ,CNV_13q,CNV_17q25.3 ,CNV_22q11.21,CNV_5p12    ,CNV_14q11.2 ,CNV_11q25   ,CNV_9q21.11 ,CNV_7p11.2  ,CNV_9q,CNV_12q24.32,CNV_7q11.22 ,CNV_10p,CNV_16p13.3 ,CNV_9p24.1  ,CNV_8p23.2  ,CNV_3q,CNV_3p,CNV_9p23    ,CNV_1p13.2  ,CNV_8q24.21 ,CNV_12p13.33,CNV_Xp11.3  ,CNV_3q26.33 ,CNV_1p34.2  ,CNV_19p,CNV_5q31.1  ,CNV_11p,CNV_8p,CNV_8q,CNV_11q13.3 ,CNV_19p13.3 ,CNV_19q12   ,CNV_5q11.2  ,CNV_10q23.31,CNV_6p25.3  ,CNV_16q23.1 ,CNV_4q35.2  ,CNV_4p15.31 ,CNV_20q,CNV_2q31.2  ,CNV_13q12.11,CNV_Xq22.3  ,CNV_15q12   ,CNV_4q12    ,CNV_9p,CNV_16q,CNV_22q,CNV_1q,CNV_Xq28    ,CNV_9p13.3  ,CNV_21q21.1 ,CNV_17q11.2 ,CNV_9p21.3  ,CNV_14q13.3 ,CNV_17p,CNV_20q11.21,CNV_18p,CNV_18q,CNV_11q22.1 ,CNV_Xp21.1  ,CNV_20p,CNV_14q,CNV_15q26.3 ,CNV_7q,CNV_7p,CNV_17q25.1 ,CNV_19q13.33,CNV_4q32.3  ,CNV_1p36.32 ,CNV_7q36.1  ,CNV_5p15.33 ,CNV_8p11.23 ,CNV_18p11.32,CNV_3p13    ,CNV_18q23   ,CNV_15q,CNV_19q13.2 ,CNV_7q21.2  ,CNV_1q21.2  ,CNV_3p12.1  ,CNV_3p11.1  ,CNV_17p11.2 ,CNV_13q14.2 ,CNV_2q22.1  ,CNV_4p,CNV_4q
TCGA-60-2709,231.32,77.79,1572.76,159.9,1551.09,1.9427,0.078871,0.0,-0.10211,0.060508,-0.043737,0.0,-0.12,0.0,-0.1177,0.0,-0.116,0.0,0.043157,-0.023924,-0.071739,0.0,0.15846,0.082043,0.1664,-0.12317,-0.017716,0.051672,0.16661,0.0,0.043157,0.16661,-0.116,-0.083465,0.051672,-0.079609,0.0,0.0,0.051672,0.033127,0.050961,0.043157,-0.038653,1.009,0.033127,0.0,-0.12148,0.0,0.0,0.0,-0.0022643,0.087534,0.06988,-0.11352,-0.116,-0.014641,-0.083465,-0.15503,-0.12304,0.0,0.0,-0.048229,0.090575,0.0026357,-0.10211,0.0,0.0,0.0,0.0,0.14905,0.051672,-0.043737,0.076422,0.051672,-0.12317,0.0,0.086522,0.0,0.0,-0.017716,-0.038653,0.0,-0.123,0.0026357,0.167,0.167,0.076422,0.1428,-0.10211,0.033127,0.12815,0.042307,0.42469,0.078871,-0.1177,0.078871,0.0,0.1428,0.16661,0.033127,-0.12393,-0.13331,0.076422,-0.048229,0.0,-0.102,-0.102
TCGA-43-3394,81.14,199.85,2287.2,42.41,1745.2,3.6569,-0.13264,2.77,-0.44681,-0.59565,0.067948,-0.46131,-0.437,0.808,-0.4197,1.3631,0.10497,0.0,0.34486,-0.0066256,0.0,-0.568,0.43024,0.058652,2.086,-0.44221,-0.019314,0.35643,0.9926,0.35,0.10087,0.44577,0.105,-0.39345,-0.42985,-0.59536,1.23,0.81,-0.42985,-0.45,0.22037,2.7704,0.018103,3.6569,-0.32716,-0.453,-0.43713,0.0,0.0,0.0,0.00097064,-0.47109,1.2459,-0.45265,-0.43604,0.22623,-0.40632,-0.44502,-0.44681,-0.322,1.664,-0.5851,-0.0024938,0.32605,-0.44681,-0.43,-0.393,0.873,-0.327,-0.027398,-0.42985,0.81318,0.45292,-0.42985,-0.44221,-0.463,-0.32208,-0.133,-0.133,0.00097064,0.71848,-0.14,-0.442,0.54894,0.993,0.993,0.43024,-0.48102,-0.44502,-0.32716,0.68589,1.2452,0.30069,-0.13264,-0.4197,-0.13264,0.326,1.2459,0.44577,0.84593,-0.4197,-0.4197,1.2089,0.60487,0.11247,-0.447,-0.447
TCGA-22-5471,27.64,12.55,1340.84,88.26,1561.89,0.12739,3.6569,1.158,-0.25353,-0.31381,-0.25372,-0.043354,-0.27,0.229,-0.25245,0.62931,-0.34815,-0.254,0.62439,-0.30383,-0.23657,-0.134,0.3667,-0.6219,0.22852,0.24355,0.042305,-0.033428,0.33267,0.0,0.62439,0.33267,0.0,0.073378,-0.32903,-0.61625,0.0,-0.252,-0.32903,-0.31473,3.6569,0.036911,-0.086809,3.3494,-0.25952,0.11,-0.26999,-0.304,-0.152,0.0,3.6569,0.035641,0.61785,-0.26999,0.054352,-0.0054227,0.0,-0.023178,-0.18146,0.0,-0.043354,-0.13357,-0.11393,-0.22726,-0.18146,-0.296,0.0,0.0,-0.041,-0.11393,0.095919,0.061912,0.35542,-1.0151,0.24822,0.0,0.88722,0.283,0.283,0.042305,0.86867,0.284,0.248,-0.21814,0.333,0.333,0.3667,-0.033973,-0.021396,-0.25952,0.38367,0.22852,-0.15198,0.28277,-0.25245,-0.31239,-0.228,0.61785,0.33267,0.86192,-0.25245,0.13344,-0.0018248,-0.13357,-0.043354,-0.16,-0.16
TCGA-34-7107,293.07,19.82,1605.83,165.57,4639.29,0.3794,-0.0045695,0.661,-0.38649,-0.39919,-0.40097,-0.42298,-0.391,0.332,-0.41108,0.36215,0.3473,-0.401,0.26549,-0.029295,0.10893,-0.4,-0.04428,0.6629,0.33157,0.38221,0.0013868,0.67382,0.0,0.674,0.26549,0.91804,0.347,0.32517,0.58924,0.34583,0.405,0.013,0.58924,-0.40723,0.01447,0.66143,-0.40484,3.5767,-0.43232,0.604,-0.39124,0.0,0.346,0.0,-0.0051227,0.80383,0.80383,-0.37763,-0.0067199,-0.33987,0.33593,-0.38649,-0.38649,-0.415,1.2639,-0.029584,0.63737,-0.028833,-0.38649,0.674,0.325,0.0,0.029,-0.25019,0.67382,-0.40097,-0.048372,0.67382,-0.34443,0.0,0.79461,-0.296,0.0,-0.0051227,-0.40484,0.379,0.0,0.021463,0.364,0.0,-0.019589,-0.20012,-0.38649,-0.43232,0.35653,0.33157,0.34583,-0.34813,-0.71328,-0.052028,0.0,0.80383,0.36395,0.45151,-0.3983,-0.3983,-0.048372,-0.39992,0.02693,-0.386,-0.386
TCGA-22-5483,95.34,22.1,1388.16,70.51,2271.4,0.42099,0.21115,0.0,-0.47099,-0.5347,-0.5129,0.32743,0.115,0.651,-0.48176,0.32286,-0.13613,-0.513,-0.00041585,-0.50774,0.36756,-0.535,-0.034278,0.083342,0.65145,-0.49611,0.050819,-0.48355,0.03164,0.457,-0.00041585,0.61697,-0.514,-0.042381,-0.48355,-0.53977,-1.293,-1.293,-0.48355,-0.50815,0.14429,-0.00041585,-0.71773,0.33383,1.1899,0.356,-0.53683,-0.508,-0.526,-0.382,0.0,-0.38313,0.35594,-0.53683,-0.49496,-0.42746,-0.090626,-0.47099,-0.47099,0.213,0.32743,0.27695,0.65424,0.16325,-0.47099,-0.027,0.0,-0.48,-0.146,0.58603,-0.48355,-0.5129,0.2003,-0.48355,-0.49611,-0.478,0.64194,0.211,0.211,0.050819,-0.71773,0.642,-0.496,0.14732,0.617,0.617,0.2003,0.35594,-0.47099,-0.51794,0.61697,0.34551,0.51996,0.21115,-0.61964,0.21115,0.163,0.35594,0.61697,0.35463,-0.61964,-1.2929,-0.51208,-0.5348,0.32743,-0.471,-0.471
TCGA-90-6837,48.18,16.15,1295.13,195.72,1350.18,0.0,0.020483,0.0,0.0015255,-0.00055444,-0.0076101,0.00597,0.0,0.0,0.0036076,0.0024969,-0.0008316,0.0,-0.0030475,-0.0016629,0.0,0.0,-0.0036011,-0.00097017,0.0066653,0.00055459,-0.0027119,-0.0012473,0.0,0.0,-0.0030475,0.0,0.0,-0.00027724,-0.0012473,-0.0023553,0.0,0.0,-0.0012473,0.001803,-0.0023553,-0.0030475,-3.7177e-05,0.0036076,0.0042517,0.0,0.0066653,0.0,0.0,0.0,-0.0016629,-0.0044312,-0.0044312,0.0066653,-0.0008316,0.0,-0.00027724,0.0015255,0.0015255,0.0,0.00597,-0.00055444,-3.7177e-05,-0.0077482,0.0015255,0.0,0.0,0.0,0.0,-3.7177e-05,-0.0012473,-0.0076101,-0.0036011,-0.0012473,0.00055459,0.0,-0.0040162,0.0,0.0,-0.0027119,-3.7177e-05,0.0,0.0,-0.0077482,0.0,0.0,-0.0036011,-0.0044312,0.0015255,0.0042517,0.0,0.0066653,-0.0023553,0.020483,0.0036076,0.019592,0.0,-0.0044312,0.0,0.001803,0.0036076,0.0036076,-0.0036011,-0.00055444,0.0032192,0.0,0.0
TCGA-33-6737,127.0,46.18,1001.93,102.97,3491.39,-0.0020326,-0.29969,0.307,-0.34089,-0.00097017,-0.0045695,-0.01037,-0.334,-0.334,0.024829,-0.0066432,0.35316,0.0,0.30681,-0.33006,-0.29284,-0.388,0.04812,-0.31972,0.29899,0.27789,-0.69839,-0.32356,0.011679,-0.345,0.32221,0.011679,0.307,-0.32668,-0.34481,-0.35004,0.0,0.0,-0.34481,0.015727,0.92553,0.30681,-0.040169,0.0062481,0.015727,-0.32,-0.34446,-0.33,0.926,0.926,0.24031,-0.31961,0.31675,-0.00055444,-0.33352,-0.0023553,-0.31821,-0.34079,-0.34089,0.0,0.53872,-0.3866,-0.040169,-0.32936,-0.34089,-0.345,-0.318,-0.316,0.0,-0.03245,-0.33883,-0.34205,0.012516,-1.0616,0.28644,0.0,0.014749,-0.308,-0.308,0.24031,-0.040169,0.0,0.286,0.26378,0.0,0.0,0.015866,0.31675,-0.34079,0.015727,0.011679,0.25636,0.33545,0.68757,0.00069327,-0.30803,0.0,0.31675,0.011679,0.015727,0.00069327,0.00069327,0.012516,-0.055364,-0.0066432,-0.341,-0.341
TCGA-43-6771,3.56,14.03,1183.45,34.51,961.07,0.0040243,-0.0078863,0.184,-0.22941,0.0034687,-0.23887,0.0062481,0.0,0.0,0.23504,0.0062481,-0.013953,-0.239,0.14518,0.24326,0.0040243,0.0,0.0030522,-0.20249,0.0,0.23318,-0.2241,-0.22293,0.89157,-0.223,0.14518,-0.23374,0.0,-0.090985,0.47375,-0.23789,0.244,0.244,-0.22034,0.0072217,-0.23789,0.18359,0.00027728,0.24373,0.0072217,-0.437,0.0,0.233,-0.238,-0.238,3.6569,-0.050506,-0.060076,0.0,-0.013953,-0.0027846,-0.094988,-0.22367,-0.22941,-0.017,0.0062481,0.0034687,0.00027728,-0.069064,-0.22941,-0.223,0.0,-0.202,0.0,0.00027728,-0.22293,-0.23887,-0.0173,-0.92182,0.23318,0.0,0.21837,0.0,0.0,-0.2241,0.00027728,-0.236,0.233,-0.069064,-0.234,0.88,0.0030522,-0.060076,-0.22367,0.0026851,-0.23483,0.0,-0.23789,-0.0078863,0.24373,-0.0078863,0.0,-0.060076,-0.23483,0.0072217,0.24373,0.24373,-0.0173,0.0034687,0.0062481,-0.229,-0.229
TCGA-22-5489,104.42,36.79,2255.7,176.29,738.29,0.0,0.13702,0.362,-0.40556,-0.010922,0.0033299,0.21576,0.0,0.0,0.0030522,0.62847,0.012487,0.0,0.0037465,0.00083195,-0.44545,0.0,-0.022332,0.013772,-0.0047079,0.0114,-0.41234,-0.01004,0.0063871,0.0,-0.0086214,0.0063871,0.0,0.017264,-0.0087146,0.3206,0.44,0.44,-0.0087146,-0.41553,0.35039,1.1346,0.024368,0.9005,-0.01498,0.323,-0.037762,0.0,0.321,0.321,-0.0056076,-0.033814,0.32318,-0.0047079,-0.4119,-0.020165,-0.41702,-0.40948,-0.41311,0.0,0.21576,-0.35202,0.024368,0.0053621,-0.40252,0.0,-0.394,0.0,0.553,-0.02873,1.6058,0.010842,-0.0055375,-0.80086,0.0114,-0.432,-0.016292,0.107,0.107,-0.0056076,0.024368,0.0,0.0,0.0063871,0.0,0.0,-0.0055375,0.29301,-0.40948,0.0097276,0.0063871,-0.0047079,0.3206,0.20566,-0.40644,0.11881,0.0,0.32318,0.0063871,0.55815,-0.39764,-0.39764,-0.43745,-0.34171,0.21576,-0.413,-0.413
TCGA-22-5472,279.14,148.09,1733.13,68.07,703.28,0.024382,-0.068286,0.0,-0.49683,-0.4432,-0.0044568,-0.01618,-0.492,-0.309,-0.58404,-0.029883,-0.069892,0.0,-0.015576,0.047668,0.024382,-0.443,-0.37653,0.090114,0.18235,0.088955,0.053495,-0.013014,0.17133,0.0,-0.015576,0.17133,0.0,0.0026196,-0.58639,0.090259,0.6,-0.584,-0.58639,0.019617,0.11445,0.0,-0.096201,0.69387,0.019617,0.0,-0.49153,0.0,0.114,0.114,0.053495,-0.040234,-0.040234,-0.49153,-0.069892,0.024382,0.022278,-0.49804,-0.50655,0.102,-0.01618,-0.4432,-0.096201,0.12547,-0.49683,-0.573,0.0,0.0,0.0,-0.096201,-0.58639,-0.0044568,-0.37653,-0.58639,0.088955,-0.377,0.10174,0.0,0.0,0.053495,-0.096201,0.102,0.0,0.12547,0.171,0.171,-0.37653,-0.040234,-0.49804,-0.14608,0.13021,0.18235,0.11445,-0.068286,-0.58404,-0.068286,0.125,-0.040234,0.17133,0.019617,-0.58404,-0.58404,-0.37653,-0.4432,-0.01618,-0.497,-0.497
TCGA-22-5478,110.43,171.45,1104.13,90.14,339.14,-0.38537,0.37825,-0.222,0.079891,-0.51455,-0.17677,0.0,0.775,1.281,-0.51001,0.50394,-0.24602,-0.177,-0.22158,-0.23973,-0.38067,-0.515,0.46827,0.35904,1.2814,0.056085,-0.22908,-0.50733,0.4502,-0.507,-0.22158,0.4502,-0.246,-0.24995,-0.53165,-0.53083,0.0,-0.51,-0.53165,0.030169,0.3395,-0.22158,-0.092961,0.031333,0.030169,-0.478,-0.51589,-0.24,-0.484,0.339,-0.23973,-0.48963,0.052668,-0.50592,-0.23631,-0.38537,-0.24995,0.079891,0.61643,-0.251,0.0,-0.51455,-0.085059,0.00069327,0.85106,-0.507,-0.25,0.0,0.0,0.71377,-0.50733,-0.17922,-0.21837,-0.50733,0.056085,-0.218,2.2117,-0.401,0.11,-0.22908,-0.063838,-0.251,0.0,0.0043021,0.311,0.45,0.46827,-0.2308,0.079891,0.030169,0.89006,1.0172,-0.02562,-0.51084,-0.51001,0.11023,0.0,0.052668,1.5774,0.030169,-0.51001,-0.51001,0.44392,-0.51455,0.0,0.121,0.0
TCGA-22-5491,130.6,34.51,2997.45,10.55,2209.26,-0.028218,0.41463,0.15,1.043,-0.67766,-0.66266,-0.45247,-0.534,-0.534,-0.56555,0.11169,-0.15452,-0.663,0.15009,0.082043,0.0095883,-0.65,0.11536,0.33901,-0.58877,-0.36884,0.3256,-0.07893,0.12505,0.0,0.10862,0.12505,-0.155,0.58793,-0.65566,-0.66494,1.826,1.26,-0.65566,-0.013545,0.09275,0.15009,-0.35601,2.571,-0.027671,0.0,-0.53378,0.111,-0.665,0.0,0.11116,-0.03186,0.0098669,-0.58877,-0.11011,-0.47416,-0.065313,-0.62054,-0.14657,0.327,0.11169,-0.64977,-0.367,0.10512,-0.14657,-0.577,0.0,0.364,-0.648,-0.40248,-0.65566,-0.66266,0.085365,-0.65566,-0.37437,-0.687,0.33542,0.415,0.415,0.11116,1.2163,0.327,-0.374,0.082129,0.108,0.108,0.11536,0.0098669,-0.57812,-0.67122,0.017124,-0.036401,3.6569,0.40394,-0.56555,-0.23508,0.0,0.0098669,0.12505,-0.013545,-0.56555,-0.56555,-0.68706,-0.64977,0.11169,-0.578,-0.578
TCGA-22-5482,16.15,9.2,1617.0,42.41,1977.24,0.5231,0.11624,0.23,-0.072007,-0.51846,-0.12226,-0.1342,0.881,1.377,-0.65696,0.12712,-0.046644,-0.122,-0.022744,-0.05037,0.5231,-0.503,-0.33352,0.25715,1.4096,-0.020171,-0.017391,0.59244,0.53278,-0.068,-0.022744,0.57541,0.0,-0.39308,-0.66087,0.5238,0.0,-0.657,-0.66087,0.15666,0.5238,0.23009,0.06068,2.3503,0.15666,0.0,-0.4989,0.0,0.524,0.524,-0.023933,-0.037898,-0.040888,-0.496,-0.046644,-0.2738,-0.031086,-0.079476,-0.072007,0.0,0.12712,-0.50339,0.082909,0.20671,-0.072007,-0.661,-0.433,0.257,0.157,0.07562,0.60666,-0.12226,-0.023292,-0.66087,-0.020171,0.0,1.2183,-0.619,0.116,-0.023933,0.06068,1.209,0.0,0.20671,-0.21,0.323,-0.33352,-0.040888,-0.060434,0.15666,-0.20983,1.355,0.5238,-0.61901,-0.65964,0.11624,0.207,-0.040888,0.57541,0.15666,0.13702,-0.65249,-0.028491,-0.50339,0.12712,0.0,0.0
